relevant,name,url,pages_detected,page_urls
False,Carding,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/carding,1,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/carding
False,Money Transfers,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/money-transfers,1,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/money-transfers
False,Gift Cards,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/gift-cards,1,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/gift-cards
False,Cryptocurrency,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/cryptocurrency,1,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/cryptocurrency
False,Fake money,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/cash-fakemoney,1,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/cash-fakemoney
False,Hacking,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/hacking,1,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/hacking
False,Documents,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/documents,1,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/documents
False,Electronics,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/electronics,1,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/electronics
False,Porn,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/porn-and-adult,1,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/porn-and-adult
False,Casino/Betting,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/casino-betting,1,http://tormartcqzcue4rrvvph7nw4alenvtdvyprwwnymvaav7w2m7fylqsqd.onion/casino-betting
