market_name,listing_title,price,dosage,rating,review,description,number_in_stocks,original_url,category_page,fetched_at,category,matched_categories,matched_terms,ship_from,ship_to,matched_terms,matched_categories
TorZon Market,100 pills Tamoxifen 20mg Nolvadex,USD 96012.13,,4.83,,"Product Description 100 pills Tamoxifen 20mg Nolvadex ONLY 35$ usd Brand Tamilong 20mg by Hab Pharma !!! DELIVERY GUARANTEED !!! Tamoxifen blocks the actions of estrogen, a female hormone. Certain types of breast cancer require estrogen to grow. Tamoxifen is used to treat some types of breast cancer in men and women. Tamoxifen is also used to lower a woman's chance of developing breast cancer if she has a high risk (such as a family history of breast cancer). medsguru",,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?action=view&id=1069154619&pid=73952&fid=91440836374,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?page=47&sta=1&searchword=&shipsfrom=All&payment=All&category=Pharmaceuticals&small=0&big=5000000&id=85313615311066502,2025-11-15T17:15:18+00:00,Pharmaceuticals,contraceptives,Estrogen,India,WorldWide,Estrogen,contraceptives
TorZon Market,cytoheal 200mcg (generic misoprostol) 50 tablets,USD 95989.4,,4.81,,"Product Description Cytoheal 200mcg Active ingredient: Misoprostol Dosage: 200mcg Form: Tablets Short description: Planned abortion pills. Long description: Misoprostol is an oral medication used to prevent NSAID (Nonsteroidal Anti inflammatory Drugs) associated gastric ulcers and cause an early abortion in women in their first trimester pregnancy. It is used in combination with Mifepristone (also known as RU 486) for the termination of pregnancy in women who are no more than nine weeks pregnant. It increases the contractions (by opening the cervix) caused by Mifepristone to empty the uterus and avoid surgical intervention. For the treatment of gastric ulcers, it works by lowering the amount of acid to protect the lining of the stomach. For the termination of pregnancy, four tablets are given to you by the doctor which are needed to be taken either orally or vaginally. The abortion process gets completed within 3 to 4 days. It can take anywhere around 3 months to reduce the risk of gastric ulcers provided that the doctors prescription is followed.",,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?action=view&id=6515399437&pid=98940&fid=3186093186,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?page=47&sta=1&searchword=&shipsfrom=All&payment=All&category=Pharmaceuticals&small=0&big=5000000&id=85313615311066502,2025-11-15T17:16:29+00:00,Pharmaceuticals,abortion_meds,Abortion; Mifepristone; Misoprostol; RU-486,India,WorldWide,Abortion; Mifepristone; Misoprostol; RU-486,abortion_meds
TorZon Market,cytotec 200mcg (generic misoprostol) 50 tablets,USD 96047.62,,4.81,,Product Description Cytotec 200mcg Active ingredient: Misoprostol Dosage: 200mcg Form: Tablets Short description: Planned abortion pills. Long description: Misoprostol is an oral medication used to prevent NSAID (Nonsteroidal Anti inflammatory Drugs) associated gastric ulcers and cause an early abortion in women in their first trimester pregnancy.,,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?action=view&id=7418723721&pid=98755&fid=83265188531,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?page=45&sta=1&searchword=&shipsfrom=All&payment=All&category=Pharmaceuticals&small=0&big=5000000&id=85313615311066502,2025-11-15T17:23:06+00:00,Pharmaceuticals,abortion_meds,Abortion; Cytotec; Misoprostol,India,WorldWide,Abortion; Cytotec; Misoprostol,abortion_meds
TorZon Market,cytoheal 200mcg (generic misoprostol) 50 tablets,USD 96315.6,,4.81,,"Product Description Cytoheal 200mcg Active ingredient: Misoprostol Dosage: 200mcg Form: Tablets Short description: Planned abortion pills. Long description: Misoprostol is an oral medication used to prevent NSAID (Nonsteroidal Anti inflammatory Drugs) associated gastric ulcers and cause an early abortion in women in their first trimester pregnancy. It is used in combination with Mifepristone (also known as RU 486) for the termination of pregnancy in women who are no more than nine weeks pregnant. It increases the contractions (by opening the cervix) caused by Mifepristone to empty the uterus and avoid surgical intervention. For the treatment of gastric ulcers, it works by lowering the amount of acid to protect the lining of the stomach. For the termination of pregnancy, four tablets are given to you by the doctor which are needed to be taken either orally or vaginally. The abortion process gets completed within 3 to 4 days. It can take anywhere around 3 months to reduce the risk of gastric ulcers provided that the doctors prescription is followed.",,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?action=view&id=3875435262&pid=98940&fid=28057166594,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?page=48&sta=1&searchword=&shipsfrom=All&payment=All&category=Pharmaceuticals&small=0&big=5000000&id=85313615311066502,2025-11-15T17:51:25+00:00,Pharmaceuticals,abortion_meds,Abortion; Mifepristone; Misoprostol; RU-486,India,WorldWide,Abortion; Mifepristone; Misoprostol; RU-486,abortion_meds
TorZon Market,100 pills Cytotec Misoprostol 200mcg,USD 96301.49,,4.83,,"Product Description 100 pills Cytotec Misoprostol 200mcg ONLY 59$ usd !!! DELIVERY GUARANTEED !!! Misoprostol reduces stomach acid and helps protect the stomach lining from damage that can be caused by taking aspirin or a nonsteroidal anti-inflammatory drug (NSAID). Misoprostol is a synthetic prostaglandin that works by ""replacing"" prostaglandins whose production is blocked by aspirin or NSAIDs. It is used to prevent stomach ulcers from developing during treatment with aspirin or an NSAID. Examples of NSAIDs include ibuprofen (Advil, Motrin), naproxen (Aleve), celecoxib, diclofenac, indomethacin, and meloxicam. Misoprostol is used in a hospital setting to induce cervical ripening, labor induction in women with premature rupture of membranes, and treatment of serious post-partum hemorrhage, These uses are outside of the approved indications. Misoprostol is also in combination with mifepristone or methotrexate to end an early pregnancy (medical abortion) or alone for early pregnancy loss (miscarriage). medsguru,",,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?action=view&id=608484058&pid=74261&fid=27816479565,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?page=49&sta=1&searchword=&shipsfrom=All&payment=All&category=Pharmaceuticals&small=0&big=5000000&id=85313615311066502,2025-11-15T18:09:41+00:00,Pharmaceuticals,abortion_meds,Abortion; Cytotec; Methotrexate; Mifepristone; Misoprostol,India,WorldWide,Abortion; Cytotec; Methotrexate; Mifepristone; Misoprostol,abortion_meds
TorZon Market,2X BOXES - YASMIN,USD 96351.74,,4.81,,"Product Description BRAND: Bayer ACTIVE INGREDIENT: Ethinyl Estradiol , Drospirenone PACKAGE: 21 tabs (3mg+0.03mg) FORM: Oral 🔹 INFORMATION YOU MUST READ BEFORE PLACING AN ORDER 🔹 - Please don’t forget to pay the shipping fee otherwise your order will be cancelled - We offer a 100% free reshipment guarantee for the US and UK. - Your tracking number will be shared with you within 1 to 3 business days. - For standard shipping, delivery time to the US is 15 to 25 days. - For standard shipping, delivery time to the UK is 8 to 15 days. - All express shipments are delivered within 3 to 5 days, regardless of the destination country. - We do not offer a reshipment guarantee for countries other than the US and the UK. We also recommend choosing the express shipping option for Canada and Australia. If you contact us before placing your order, we will be happy to provide you with more detailed information on this matter. - LOG IN TO YOUR ACCOUNT 24 HOURS AFTER PLACING YOUR ORDER AND CHECK IF YOU HAVE RECEIVED A MESSAGE FROM US. Sometimes, there may be address errors or changes related to your order. The sooner we hear from you, the sooner we can take action. - Once the products arrive at your address please log into your account and mark the order as completed - You can add all products shipped from Asia to your cart by paying a single shipping fee. Purchase one product first and pay the shipping fee on that order. Then, when buying the other products, select the ‘combined $0’ option. This way, you can create your cart and purchase all the items you want in a single shipment. - The shipping fee you pay will only apply to products shipped from the Asia region. If you want to add a product from another country to your cart, you will need to pay the shipping fee for that brand as well, because it will be shipped from a different warehouse and sent separately. Please read the descriptions under the products carefully before placing your order. Especially in the USA and UK regions, we have multiple warehouses, and each brand’s products are stored in different locations. Please make sure to consider this before placing your order.",,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?action=view&id=4424120040&pid=93395&fid=2066203985,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?page=52&sta=1&searchword=&shipsfrom=All&payment=All&category=Pharmaceuticals&small=0&big=5000000&id=85313615311066502,2025-11-15T18:15:45+00:00,Pharmaceuticals,contraceptives,Drospirenone; Estradiol; Ethinyl estradiol; Yasmin,Turkey,WorldWide,Drospirenone; Estradiol; Ethinyl estradiol; Yasmin,contraceptives
TorZon Market,100 pills Tamoxifen 20mg Nolvadex,USD 96124.66,,4.83,,"Product Description 100 pills Tamoxifen 20mg Nolvadex ONLY 35$ usd Brand Tamilong 20mg by Hab Pharma !!! DELIVERY GUARANTEED !!! Tamoxifen blocks the actions of estrogen, a female hormone. Certain types of breast cancer require estrogen to grow. Tamoxifen is used to treat some types of breast cancer in men and women. Tamoxifen is also used to lower a woman's chance of developing breast cancer if she has a high risk (such as a family history of breast cancer). medsguru",,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?action=view&id=3131686342&pid=73952&fid=87511871656,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?page=53&sta=1&searchword=&shipsfrom=All&payment=All&category=Pharmaceuticals&small=0&big=5000000&id=85313615311066502,2025-11-15T18:24:41+00:00,Pharmaceuticals,contraceptives,Estrogen,India,WorldWide,Estrogen,contraceptives
TorZon Market,1 Tab Kamagra Oral Jelly 100mg,USD 96124.66,,4.84,,"Product Description Hello dear GreenLeafDE-members, we offer you exclusive oral jelly kamagra packs for a hard, stiff night. Flavour: Orange, Vanilla, Pineapple, Strawberry, Butterscottch, Black Currant What is Kamagra Oral Jelly? Kamagra Oral Jelly is a sexual enhancer made by the Indian pharmaceutical company Ajanta Pharma. It is a generic version of Viagra, which according to the manufacturer, like the original drug, should contain the active ingredient sildenafil. Oral jelly means something like “gel to take in”. There are many different websites that sell these jellies, but the most common is Kamagra Oral Jelly. One of the alleged advantages of the jelly is that its consistency makes it easy to take without water. In addition, the natural taste is more pleasant than with tablets. It is often promised that Kamagra Oral Jelly has a preferential onset of action, since the active ingredient is absorbed directly through the oral mucosa. --------------------------------------------------- ------------------------------------------------------------ --- > Allgemeine-Infos zu uns: ---------------------------------- - Unsere Qualität und Kundenservice steht an höchster Stelle. - Faires Preis-Leistungs Verhältnis. - Unsere meisten Cannabis-Strains werden aus Holland importiert. - Wir verkaufen nur TOP Ware. - Verpackung und Versand per DHL. - Nachrichten werden innerhalb 8 Stunden beantwortet. ---------------------------------- > ADRESSFORMAT ---------------------------------- Vorname Nachname Straße Hausnummer Postleitzahl Ort Land - Schreibt bitte Umlaute in der Adresse aus. - Überprüft eure Adresse doppelt auf mögliche Rechtschreibfehler BEVOR ihr sie uns sendet. --------------------------------------------------- ----------------------------------------------------------- SMELL, TASTE AND EFFECT OF SUPER SILVER HAZE Super Silver Haze is known for its intense sweet and slightly spicy aroma. The sweet Skunk taste, earthy Haze and strong Afghani flavors of Northern Lights are magically combined. It actually tastes exactly the same as it smells, namely fantastic! With the heavy, yet sweet tasting smoke, it's no wonder this strain is so popular. The Super Silver Haze's high is functional and perfect for daytime use. You are full of energy and still feel extremely peaceful, grounded and clear in your head. The perfect strain for that morning joint. Not to forget its potential for treating headaches/migraines and anxiety. -------------------------------------------------- ------------------------------------------------------------ ---- ________________________________ > General information about us: ---------------------------------- - Our quality and customer service is our top priority. - Fair price-performance ratio. - Most of our cannabis strains are imported from Holland. - We only sell TOP merchandise. - Packaging and shipping by DHL. - Messages will be answered within 8 hours. ---------------------------------- > ADDRESS FORMAT ---------------------------------- First name Last name Street House number Zip code City Country - Please write out umlauts in the address. - Check your address twice for possible spelling mistakes BEFORE you send it to us. Meine Lichtbrüder, es gibt sonnengeküsste Nachrichten, welche eine Flut auslöse. Sicherheit: Bitte achtet immer darauf mir eure Adressen verschlüsselt zuzusenden! Hierfür solltet ihr euch mit der PGP-Verschlüsselung vertraut machen. Zwar werden die Daten bei uns in speziell dafür gemachten Betriebssystemen abgerufen ect. Trotzdem sollte euch eure Sicherheit auch wichtig sein. Versand: Beim Versand steht bei uns Sicherheit an erster Stelle. Die Ware ist vakuumiert, tast und blickdicht verpackt, sodass euch selbst bei Beschaedigung der Sendung niemand Verdacht hegen wird. Versendet wird bei uns von Montag bis Samstag. Das Adressformat ist wie folgt zu gestalten Max Mustermann Musterstrasse 123 12345 Berlin Deutschland DE= 2 Werktage EU= 3-5 Werktage Kein Tracking. (OPSec) Qualitätsversprechen unseres Shops: Da wir sehr viel Wert auf Kommunikation und Kundenservice legen, scheut euch nicht uns offene Fragen zu stellen. Normalerweise antworten wir innerhalb von 12Stunden an Werktagen. Bisher sind all unsere Sendungen angekommen und haben noch jeden glücklich gemacht. Falls das aber bei dir tatsächlich mal nicht der Fall sein sollte, wende dich bitte direkt an uns und wir finden eine Lösung. Das hilft uns beiden mehr, als das hinterlassen eines schlechten Feedbacks. Sollten jetzt noch abschließende Fragen offen geblieben sein, sind wir für dich per PM erreichbar. Reklamationen / Refund / Reship? ? Ruhe bewahren! ? Nehmt Kontakt mit uns auf und wir finden eine Möglichkeit. Wir sind auch nur Menschen. ? Refund / Reship gibt es nur, wenn ein Versäumnis unsererseits vorliegt. ? Kein Reship für Auslandssendungen. Für Neukunden gibt es leider kein Reship. ? Bestellung immer auf eigene Gefahr. ? Maximum Reship 50% Wir versuchen stets unser bestes zu geben, Versprochen! ______________________________________________ ______________ My brothers of light, there is sun-kissed news, which is causing a flood. Security: Please always make sure to send me your addresses encrypted! For this, you should familiarize yourself with PGP encryption. Although the data is retrieved from us in specially designed operating systems ect. Nevertheless, your security should also be important to you. Shipping: For shipping, security is our first priority. The goods are packed vacuumed, tast and opaque, so that even if the shipment is damaged, no one will suspect you. We ship from Monday to Saturday. The address format is as follows Max Mustermann Sample street 123 12345 Berlin Germany DE= 2 working days EU= 3-5 working days No tracking. (OPSec) Quality promise of our store: Since we put a lot of emphasis on communication and customer service, don't be afraid to ask us open questions. We usually reply within 12 hours on working days. So far, all our shipments have arrived and made everyone happy. If this is not the case for you, please contact us directly and we will find a solution. This helps both of us more than leaving a bad feedback. If you still have questions, you can reach us via PM. Complaints / Refund / Reship? ? Keep calm! ? Contact us and we will find a way. We are only human. ? Refund / Reship is only available if there is an omission on our part. ? No reship for foreign shipments. Unfortunately there is no reship for new customers. ? Order always at your own risk. ? Maximum Reship 50% After 3 years, making thousands of brothers happy on all Plattforms, we got News ! there is a maximum reship of 30 to 50 percent. and only in the case of sympathy. (with cocaine there is no reship/refund)!!! UPDATE 01.10.2022 We always try our best to give, promised!",,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?action=view&id=1108953019&pid=4449&fid=74763179273,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?page=54&sta=1&searchword=&shipsfrom=All&payment=All&category=Pharmaceuticals&small=0&big=5000000&id=85313615311066502,2025-11-15T18:26:00+00:00,Pharmaceuticals,contraceptives,Advantage S,Germany,WorldWide,Advantage S,contraceptives
TorZon Market,50 pills Tamoxifen 20mg Nolvadex,USD 96086.96,,4.83,,"Product Description 50 pills Tamoxifen 20mg Nolvadex !!! DELIVERY GUARANTEED !!! Tamoxifen blocks the actions of estrogen, a female hormone. Certain types of breast cancer require estrogen to grow. Tamoxifen is used to treat some types of breast cancer in men and women. Tamoxifen is also used to lower a woman's chance of developing breast cancer if she has a high risk (such as a family history of breast cancer). medsguru",,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?action=view&id=9910839281&pid=73950&fid=85976953765,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?page=56&sta=1&searchword=&shipsfrom=All&payment=All&category=Pharmaceuticals&small=0&big=5000000&id=85313615311066502,2025-11-15T18:29:17+00:00,Pharmaceuticals,contraceptives,Estrogen,India,WorldWide,Estrogen,contraceptives
TorZon Market,estrabet 1mg (generic estradiol) 112 tablets,USD 96134.09,,4.81,,"Product Description Estrabet 1mg Active ingredient: Estradiol Dosage: 1mg Form: Tablets 1 blister contains 28 tablets Short description: Medication used mainly in menopausal hormone therapy and to treat low sex hormone levels in women. Long description: Estradiol is a naturally occurring and bioidentical estrogen, or an agonist of the estrogen receptor, the biological target of estrogens like endogenous estradiol. Due to its estrogenic activity, estradiol has antigonadotropic effects and can inhibit fertility and suppress sex hormone production in both women and men. Estradiol differs from non-bioidentical estrogens like conjugated estrogens and ethinylestradiol in various ways, with implications for tolerability and safety. Shipping Timings: USA-9 TO 12 Days UK-3 To 6 Days Australia-5 To 8 Days France-7 To 9 days Rest Of World-12 to 14 Days",,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?action=view&id=6740742095&pid=98744&fid=85036190826,http://torzon4dstyuo4waiwy5lgmgsqjjqcdk2pwbwdvkmg4isobc7ufbqgyd.onion/products.php?page=57&sta=1&searchword=&shipsfrom=All&payment=All&category=Pharmaceuticals&small=0&big=5000000&id=85313615311066502,2025-11-15T18:37:40+00:00,Pharmaceuticals,contraceptives,Estradiol; Estrogen; Estrogens; Ethinyl estradiol; ethinylestradiol,India,WorldWide,Estradiol; Estrogen; Estrogens; Ethinyl estradiol; ethinylestradiol,contraceptives
